X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Pu_Experiment,Unnamed: 11,Est 1,Est 2,Est 3,Est 4,Est 5,Est 6,Est 7,Est 8,Est 9,Est 10,Est 11,Est 12,Est 13,Est 14,Est 15,Est 16,Est 17,Est 18,Est 19,Est 20,Est 21,Est 22,Est 23,Est 24,Est 25,Est 26,Est 27,Est 28,Est 29,Est 30,Est 31,Est 32,Est 33,Est 34,Est 35,Est 36,Est 37,Est 38,Est 39,Est 40,Est 41,Est 42,Est 43,Est 44,Est 45,Est 46,Est 47,Est 48,Est 49,Est 50,Est 51,Est 52,Pu_Prediction,R_square
0.4,3.85,7.3,0.0,2.95,3.7,3.6,14.1,11.15,7.08,1.44,,0.02925920138888887,0.05693229158112285,0.08649195067203194,0.11591276596784723,0.13552261445269573,0.16502584993249372,0.1944046378112816,0.22372158856885732,0.24341564721083264,0.2629472692346422,0.2923451057731037,0.32181691764179055,0.35136243531855826,0.37072948778769405,0.39017159637355264,0.40971370495941123,0.4392601064745627,0.4685365536385099,0.49781070136578265,0.5251455411955317,0.5544783694783599,0.583725528569269,0.6131028959935113,0.6425441838722992,0.6674327938420531,0.6962653117292585,0.7155983226419569,0.7445533941907784,0.7640909713512721,0.7834702484977367,0.8176324114577104,0.8470807700435689,0.8763098735789223,0.9057376333191821,0.9349476838242325,0.9645881509959497,0.9840232520060507,1.0035477311727174,1.0230292652636266,1.0522544777055058,1.0818463337661117,1.1115645576718356,1.1312645576718356,1.160308174394619,1.1895853348884462,1.218872424534911,1.2483982294591534,1.277579472444563,1.2972490852391758,1.3262353699613982,1.3552912597415527,1.3740350728728659,1.3938238986304416,
0.3,3.4,5.25,0.0,3.4,3.49,3.44,12.05,8.65,6.748554913,0.5598,,0.012143736221340379,0.02433082762145261,0.03644383267195765,0.048598790233686046,0.05690399856701936,0.06896076940035267,0.08200234807234656,0.09410821226987741,0.1020502509603536,0.11035545929368691,0.12241223012702021,0.13501464489974746,0.1471205090972783,0.15547481079480915,0.16382911249234,0.17218341418987085,0.1838391433565375,0.1963531900737092,0.20805801260457338,0.21931270010457338,0.23191779269716595,0.24398421134795958,0.25607043819981146,0.26776403939028764,0.28090861526913263,0.29310677499135485,0.3014610766888857,0.31351784752221906,0.3215103822444413,0.329414548911108,0.3468138431541505,0.35936002370970604,0.3714167945430394,0.3839951089369788,0.3960813357888307,0.4081381066221641,0.4160985075060025,0.4240026741726692,0.4324283843999419,0.44454138945044697,0.4561971186171137,0.46785284778378045,0.4763164300348627,0.48849370276213544,0.501000608626333,0.5135075144905304,0.5259653269905303,0.5380711911880611,0.5459753578547277,0.5580812220522585,0.5697369512189251,0.5777294859411473,0.5856336526078139,
0.3,3.4,5.25,0.0,3.4,3.47,3.42,12.05,8.65,6.75,0.5854,,0.012130268199233709,0.024260536398467418,0.03645324473180075,0.048557983293892236,0.05661444162722557,0.0688071499605589,0.08150209037497702,0.09362498464020998,0.10175345686243219,0.10981948895055478,0.12198902020055476,0.13421707575611033,0.14626795613245444,0.15439642835467668,0.1624433664859898,0.17049982481932316,0.18265156093043428,0.19476273517285853,0.20685672657497495,0.2189869947742087,0.23117970310754204,0.24347042731389126,0.25563995856389127,0.26777414259166904,0.28110205180384734,0.293062784610747,0.30112144276486885,0.3133141510982022,0.32138018318632483,0.3294366415196582,0.3466976670512809,0.35875592136162576,0.37091493086454974,0.3831076391978831,0.39530034753121646,0.4073756523151671,0.41548988516086544,0.4236183573830877,0.4317468296053099,0.44387709780454365,0.4559353521148885,0.46808708822599965,0.4762155604482219,0.48840826878155524,0.5006009771148886,0.5126337238106771,0.524791084921788,0.5369213531210216,0.5450498253432438,0.5571840093710214,0.5692805787398457,0.5773210693312435,0.5854977423110415,
0.4,3.4,7.22,0.0,3.4,3.45,3.43,14.02,10.62,7.26,1.24,,0.02344320423789172,0.04773015245481705,0.07255404134370592,0.09681328376794834,0.11258022821239277,0.1367761790670936,0.15719112579464306,0.18097705172056897,0.19679145449834673,0.21202988042427265,0.23625573540262762,0.25816933493966465,0.2820249830878128,0.2967073904952202,0.31296350160633135,0.3291959668841091,0.35307471688410913,0.37756840295112853,0.4012692149169405,0.4265305478022452,0.4517641589133563,0.47649966396386134,0.5003946639638613,0.5242896639638612,0.5460068661053324,0.5690378951457364,0.5852940062568475,0.6085590703594115,0.6248453961169873,0.6415845627836539,0.6709664997736099,0.6943885149783873,0.7187726816450538,0.7429329594228314,0.7668279594228313,0.7900494100401152,0.8066344100401152,0.8228905211512262,0.8385877433734483,0.8629304706461756,0.8850344135857031,0.9076345987708883,0.9234015432153326,0.947185381599171,0.9714998260436153,0.9936007334510226,1.0179151778954671,1.041701103821393,1.0574735459510227,1.0820037840462609,1.1059198025647796,1.1212227265413879,1.1369896709858325,
0.3,3.4,5.27,0.0,3.4,3.51,3.44,12.07,8.67,6.754901961,0.6616,,0.013390586419753069,0.02623400498035912,0.03939608410493822,0.052443016975308586,0.06110169753086414,0.07389530864197524,0.08714307944359877,0.09994454549298147,0.10849718438187035,0.1169791288263148,0.13012621215964812,0.14281699498793093,0.15596407832126424,0.1651529672101531,0.1735956369632395,0.1821561307904,0.19506756597558517,0.20822964510016426,0.22103111114954696,0.2338954167051025,0.24693253090263334,0.25957672733120474,0.2725942041830566,0.28581198196083435,0.29971107172856815,0.31257537728412366,0.3214107939507903,0.33445504900129536,0.3430548175198138,0.3516545860383323,0.3696139844480414,0.38269037333693023,0.3960613224110043,0.40895776180494364,0.4216924608790177,0.4348866738419806,0.4433364844480412,0.4522425955591523,0.4611101460642028,0.47391875296655966,0.4868301881517448,0.4997416233369299,0.5086091738419803,0.5218355206433272,0.5349904589149321,0.547968661075426,0.5613985221865371,0.5740500303234618,0.5828854469901285,0.5956397834098816,0.6086101306321038,0.6171627695209927,0.6261160102617335,
0.4,4.1,2.08,0.0,2.7,3.63,2.75,8.88,6.18,4.855987055,0.432,,0.00938888888888888,0.02008718434343432,0.029587184343434304,0.03903162878787873,0.04596743125701454,0.05541187570145897,0.06603986567059475,0.07542875455948363,0.08223205317059473,0.08922341119528608,0.09985140116442187,0.1101462755030462,0.12024874463884866,0.12652652241662643,0.1338854399651273,0.14087679798981864,0.15026568687870753,0.1611588306176846,0.17065883061768455,0.1809407998637163,0.19038524430816073,0.20091082852332826,0.21029971741221715,0.22053483645983618,0.23116282642897196,0.24055171531786085,0.24682949309563862,0.25750765667588554,0.2638444622314411,0.27012224000921886,0.2838783026194481,0.29337830261944803,0.3032377272226226,0.3134040080868201,0.32284845253126454,0.33229289697570896,0.34095092166706703,0.34758755361151145,0.3538653313892892,0.3639733490660569,0.3733622379549458,0.3829212657327235,0.3892545990660568,0.3985879323993901,0.407976821288279,0.4181431021524765,0.428010661676286,0.43805757525653294,0.44512602763748527,0.4545704720819297,0.4650960562970972,0.471373834074875,0.47765161185265276,
0.4,3.45,8.0,0.3,2.95,3.65,2.95,14.7,11.75,7.59,1.152,,0.02207993827160492,0.04545141335441129,0.06718683002107792,0.08978891335441123,0.10477224668774456,0.1272607883544112,0.1505943724593495,0.1738999627371273,0.18945738116746239,0.20431422916128955,0.2264400624946229,0.2488974313217834,0.2718371188217834,0.28697027854400564,0.30229813348227724,0.31782058718598094,0.34037476655589965,0.3624547048275046,0.3849290875435539,0.4070410667102206,0.4296340010135716,0.4523364350764223,0.4750444459891207,0.4971564251557874,0.5202268193551338,0.5427573942008128,0.5572476719785906,0.5797041727501955,0.5945389721329115,0.6099383644940226,0.6424612445493715,0.6649497862160381,0.6874483201666554,0.709560299333322,0.7321668221507822,0.7556315029500025,0.7706148362833358,0.7857941572709901,0.8002844350487679,0.8228150098944469,0.845697996005558,0.8678099751722246,0.8830213370549406,0.9055107467771627,0.9285585245549405,0.9524012135981503,0.9750771633530523,0.9971571016246572,1.0124425375814472,1.0345545167481136,1.0573541502357677,1.0722209905135454,1.0883578153592244,
0.4,4.75,7.4,0.0,2.05,3.55,3.35,14.2,12.15,6.76,1.44,,0.02878183361391686,0.057679118967452175,0.08731300785634105,0.11742898007856326,0.13754832531665842,0.16794758457591755,0.19790869568702854,0.22700581870290154,0.24672030282988566,0.2667855806076634,0.29667820881279156,0.32580797071755346,0.355533526273109,0.3754221626367453,0.3949770645975296,0.41552306026852515,0.4449462715479864,0.4751302993257641,0.5051349349678996,0.5341288089758361,0.5645231145313917,0.5946103935717957,0.6252857723596743,0.655169800137452,0.6853880541057058,0.7152200183914201,0.7348366850580867,0.7655035140624156,0.7859198019412034,0.805337460671362,0.8433914358397121,0.8729535886174897,0.9032325594152104,0.933137513118914,0.9631181612670622,0.9919017892131902,1.0115317371298567,1.0316232649076345,1.0513496537965235,1.0809105912965236,1.1098524315743012,1.1359246537965235,1.1559656508203329,1.1857583118051813,1.2158740315021508,1.245797989835484,1.2761155493592933,1.3059940959862775,1.326369790430722,1.3561074888434204,1.3861885073619389,1.4056185073619387,1.4252465827587641,
0.4,4.1,1.71,0.0,2.7,3.26,2.75,8.51,5.81,4.56,0.4239,,0.01035666666666666,0.02129183641975307,0.031648503086419734,0.04189021604938268,0.04867970679012341,0.05903637345679006,0.06985810956790116,0.08021477623456781,0.08711922067901225,0.09402366512345668,0.10438033179012333,0.11530187279541433,0.125658539462081,0.13256298390652543,0.13954943231922384,0.14633892305996457,0.15699128417107566,0.16751195877425026,0.17786862544091692,0.18830729607583754,0.1986639627425042,0.20910263337742482,0.21945930004409148,0.22997997464726608,0.24117258287237428,0.25150879815015204,0.25833717777978166,0.2701166907667947,0.2770903018779058,0.28385934122975764,0.298045928531345,0.30869828964245616,0.3190549563091229,0.32933555816097476,0.34019259098925764,0.35043430395222064,0.3572237946929614,0.3641282391374059,0.3710326835818504,0.3813893502485171,0.39174601691518385,0.4016628224707394,0.4085672669151839,0.4192196280262951,0.4293425099707396,0.439485843304073,0.44992451393899363,0.46046192134640107,0.4675303737273534,0.47806778113476084,0.48839149806597776,0.4950826091770889,0.5026339054733852,
0.4,4.65,7.5,0.0,2.15,3.59,3.29,14.3,12.15,6.82,1.551,,0.030895583062770397,0.0614285195707068,0.0924028251262623,0.1233194917929288,0.1439674084595953,0.1748859269781136,0.20572481586700228,0.23688553240740629,0.25793645833333206,0.2782523674242411,0.3089783289627025,0.3397042443667427,0.3713818237318219,0.39184910592879146,0.41140400788957576,0.4319500035605713,0.4625541070959247,0.4933742955879881,0.523988752658695,0.5550270463094885,0.5862116296428218,0.6165261408260829,0.6472015196139616,0.6782575960028504,0.709266127748882,0.7401225400865442,0.7611580339137046,0.7918248629180334,0.8126233004180333,0.8331727795846999,0.8736549271015348,0.904668691982487,0.9355664929084128,0.9665594095750792,0.9970613350801296,1.0276981985060556,1.0459569176418582,1.066123792641858,1.087022230141858,1.1181045218085244,1.148937426901117,1.1801044407900059,1.200704639202704,1.2318124043542191,1.2629718740511886,1.294143633310448,1.3248152437601832,1.3554267599638867,1.3758024544083312,1.4067256025564792,1.4372352826911594,1.4579035890183196,1.4783541361563666,
